link,location,beds,baths,rent,phone
https://www.kijiji.ca/v-apartments-condos/calgary/bright-spacious-3-br-apartment-huntington-hills-video-tour/1477292034,"419 Huntsville Crescent NW, Calgary, AB T2K 4W3, Canada",1 Year,"January 1, 2020","$1,025.00",
https://www.kijiji.ca/v-apartments-condos/calgary/two-bedroom-apartment-two-bath-insuite-laundry-for-rent-1200/1477897773,"1727 54 St SE, Calgary, AB T2A 1B7, Canada",2,2,"$1,200.00",
https://www.kijiji.ca/v-apartments-condos/calgary/bright-spacious-one-two-three-bedroom-apartments-for-rent/1384548942,"3039 49 Ave, Red Deer, AB T4N 3V8, Canada",1,1,$800.00,
https://www.kijiji.ca/v-apartments-condos/calgary/fully-renovated-condo-close-to-downtown-calgary/1461212288,"1334 13 Ave SW, Calgary, AB T3C 3S2, Canada",2,1,"$1,700.00",
https://www.kijiji.ca/v-apartments-condos/calgary/1-2-bedroom-apartments-on-bonaventure-205-heritage-drive-se/1390470747,"205 Heritage Drive SE, Calgary, AB, T2H 2J8",1,1,"$1,025.00",
https://www.kijiji.ca/v-apartments-condos/calgary/admirable-2-bedroom-apartment-for-rent-at-skyward-living/1467371474,"181 Skyview Bay NE, Calgary, AB, T3N 1E8",1 Year,Yes,"$1,675.00",
https://www.kijiji.ca/v-apartments-condos/calgary/beautiful-1-bedroom-apartment-for-rent-at-skyward-living/1467371476,"181 Skyview Bay NE, Calgary, AB, T3N 1E8",1 Year,Yes,"$1,275.00",
https://www.kijiji.ca/v-apartments-condos/calgary/fully-furnished-2-bedroom-2-bathroom-suite-gym-included/1468755623,"181 Skyview Bay NE, Calgary, AB, T3N 0C2",2,2,"$2,850.00",
https://www.kijiji.ca/v-apartments-condos/calgary/fully-furnished-brand-new-apartment-for-rent-gym-included/1451976346,"181 Skyview Bay NE, Calgary, AB, T3N 0C2",Month-to-month,Limited,"$2,550.00",
https://www.kijiji.ca/v-apartments-condos/calgary/brand-new-studio-suite-furnished/1426944989,"181 Skyview Bay NE, Calgary, AB, T3N 0C2",Bachelor/Studio,1,"$1,495.00",
https://www.kijiji.ca/v-apartments-condos/calgary/two-bedroom-apartment-beltline-pets-300-mnth/1464659764,"123 10th Avenue South West, Calgary, AB, T2R 1K8",2,1,"$1,425.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bed-1-bath-condo-downtown-cochrane-utilities-included/1475590468,"625 Glenbow Dr, Cochrane, AB T4C 1E8, Canada",2,1,"$1,300.00",
https://www.kijiji.ca/v-apartments-condos/calgary/renovated-two-bedroom-one-and-a-half-bathroom-100-off/1457645661,"930 15th Ave SW, Calgary, AB, T2R 0S3",2,1.5,"$1,680.00",
https://www.kijiji.ca/v-apartments-condos/calgary/one-bedroom-apartment-beltline-pet-friendly/1476820824,"123 10th Avenue South West, Calgary, AB, T2R 1K8",1,1,"$1,140.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-family-pet-friendly/1470103781,"742 Kingsmere Crescent SW, Calgary, AB, T2V 2H9",1 Year,Yes,"$1,220.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-1-5-bath-pets-300-off-mnth/1458932320,"123 10th Avenue South West, Calgary, AB, T2R 1K8",1 Year,Yes,"$1,495.00",
https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-pets-welcome-250-off-mnth/1470877394,"1010 First Street South West, Calgary, AB, T2R 1K4",1 Year,Yes,"$1,550.00",
